rating,star,title,quote,writer,director,link,year,genre
8.4,"金·凯瑞,凯特·温丝莱特,克斯汀·邓斯特",暖暖内含光 Eternal Sunshine of the Spotless Mind,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。,"查理·考夫曼,米歇尔·冈瑞,皮埃尔·比斯毛特",米歇尔·冈瑞,"http://www.eternalsunshine.com,http://www.imdb.com/title/tt0338013",2004,"剧情,爱情,奇幻"
8.5,"克里斯蒂安·贝尔,汤姆·哈迪,安妮·海瑟薇",蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,诺兰就是保证。,"大卫·S·高耶,乔纳森·诺兰,克里斯托弗·诺兰,鲍勃·凯恩",克里斯托弗·诺兰,"http://www.thedarkknightrises.com,http://www.imdb.com/title/tt1345836",2012,"剧情,动作,科幻,惊悚,犯罪"
8.7,"丹尼尔·布鲁赫,凯萨琳·萨斯,楚潘·哈玛托娃",再见列宁 Good Bye Lenin!,一个伟大的谎言成就了一个伟大的理想。 ,"贝恩德·里希坦伯格,沃尔夫冈·贝克 ",沃尔夫冈·贝克 ,"http://www.good-bye-lenin.de,http://www.imdb.com/title/tt0301357",2003,"剧情,家庭"
8.6,"斯科特·安第斯,瑞恩·波特,丹尼尔·海尼",超能陆战队 Big Hero 6,,"乔丹·罗伯茨,丹尼尔·吉尔森,罗伯特·L·贝尔德","唐·霍尔,克里斯·威廉姆斯","http://www.disneyanimation.com/projects/bighero6,http://www.imdb.com/title/tt2245084",2014,"喜剧,动作,科幻,动画,冒险"
8.4,"乔纳森·莱斯·梅耶斯,弗莱迪·海默,罗宾·威廉姆斯",八月迷情 August Rush,音乐引人入胜。,"尼克·卡斯特尔,詹姆士·V·哈特,Paul Castro",科斯汀·谢里丹,http://www.imdb.com/title/tt0426931,2007,"剧情,爱情,音乐"
8.7,"基娅拉·马斯特洛亚尼,凯瑟琳·德纳芙,达尼尔·达黎欧",我在伊朗长大 Persepolis,像自由一样美丽。 ,"玛嘉·莎塔琵,文森特·帕兰德","文森特·帕兰德,玛嘉·莎塔琵",http://www.imdb.com/title/tt0808417,2007,"剧情,动画,传记,战争"
8.2,"郭涛,刘桦,连晋",疯狂的石头,中国版《两杆大烟枪》。,"张承,宁浩,优恵",宁浩,http://www.imdb.com/title/tt0843270,2006,"喜剧,犯罪"
8.6,"张震,杨静怡,张国柱",牯岭街少年杀人事件 牯嶺街少年殺人事件,弱者送给弱者的一刀。,"杨德昌,赖铭堂,杨顺清,鸿鸿",杨德昌,http://www.imdb.com/title/tt0101985,1991,"剧情,犯罪"
9.0,"宋在浩,李顺载,尹秀晶",我爱你 그대를 사랑합니다,你要相信，这世上真的有爱存在，不管在什么年纪 ,"姜草,秋昌民",秋昌民,"http://www.iloveyou2011.co.kr/,http://www.imdb.com/title/tt1862020",2011,"剧情,爱情"
8.7,"伊桑·霍克,乌玛·瑟曼,裘德·洛",千钧一发 Gattaca,一部能引人思考的科幻励志片。,安德鲁·尼科尔,安德鲁·尼科尔,http://www.imdb.com/title/tt0119177,1997,"剧情,科幻"
